user_id,watch_day,episodes_watched
user_03140,2025-09-11,4
user_09606,2024-09-26,4
user_00104,2025-01-12,4
user_03310,2024-09-08,4
user_03091,2024-08-17,4
user_00391,2024-08-26,4
user_05132,2024-04-22,3
user_09216,2025-12-22,3
user_05811,2024-05-07,3
user_07617,2024-07-14,3
user_02028,2024-08-13,3
user_06799,2024-08-15,3
user_06834,2024-09-17,3
user_02976,2024-09-19,3
user_05192,2024-09-30,3
user_04947,2024-10-10,3
user_02359,2024-10-12,3
user_07016,2024-10-14,3
user_02652,2024-10-22,3
user_05761,2024-11-20,3
user_04613,2024-11-20,3
user_06608,2024-12-10,3
user_04361,2024-12-11,3
user_08573,2024-12-17,3
user_09512,2025-01-07,3
user_04899,2025-01-20,3
user_05629,2025-01-23,3
user_02126,2025-02-09,3
user_06295,2025-02-24,3
user_09973,2025-03-22,3
user_04922,2025-04-05,3
user_08826,2025-04-11,3
user_01172,2025-04-24,3
user_09090,2025-04-27,3
user_01383,2025-04-29,3
user_05259,2025-05-05,3
user_03938,2025-05-07,3
user_06329,2025-05-07,3
user_03660,2025-05-20,3
user_06535,2025-05-23,3
user_04506,2025-05-27,3
user_05827,2025-05-31,3
user_03408,2025-06-02,3
user_02950,2025-06-03,3
user_01182,2025-07-03,3
user_05649,2025-07-26,3
user_07738,2025-07-28,3
user_03898,2025-07-29,3
user_02822,2025-08-30,3
user_08127,2025-09-03,3
user_07797,2025-09-07,3
user_08276,2024-04-24,3
user_05086,2025-09-18,3
user_03206,2025-09-25,3
user_09656,2025-11-16,3
user_06284,2025-11-16,3
user_08461,2025-11-18,3
user_03176,2024-01-06,3
user_00564,2024-01-09,3
user_06417,2024-01-15,3
user_00928,2024-01-18,3
user_03043,2024-02-03,3
user_05694,2024-02-13,3
user_09815,2024-05-25,3
user_01143,2024-05-28,3
user_01870,2024-06-02,3
user_08681,2024-06-13,3
user_01292,2024-07-05,3
user_01581,2024-03-30,3
user_00249,2024-08-31,3
user_01515,2024-09-12,3
user_07477,2024-09-16,3
user_03666,2024-11-12,3
user_00472,2024-12-04,3
user_02284,2024-12-30,3
user_02123,2025-01-08,3
user_09564,2025-01-11,3
user_08177,2025-01-15,3
user_01469,2025-01-17,3
user_01807,2025-01-30,3
user_06462,2025-02-10,3
user_03021,2025-02-23,3
user_07928,2025-03-22,3
user_07594,2025-03-24,3
user_06103,2025-04-08,3
user_01299,2025-04-15,3
user_07529,2025-07-07,3
user_09972,2025-07-16,3
user_08348,2025-08-09,3
user_07198,2025-08-11,3
user_02138,2025-08-28,3
user_09915,2025-09-19,3
user_06554,2025-10-02,3
user_09454,2025-10-19,3
user_08157,2025-10-26,3
user_07981,2025-11-08,3
user_09822,2025-11-09,3
user_06122,2025-11-13,3
user_04027,2024-01-02,3
user_03348,2024-01-22,3
user_01919,2024-05-22,3
user_04513,2024-06-11,3
user_01755,2024-06-12,3
user_05952,2024-04-29,3
user_02369,2024-07-04,3
user_02555,2024-03-07,3
user_03410,2024-11-08,3
user_02843,2024-12-07,3
user_05404,2025-01-01,3
user_04698,2025-01-18,3
user_04657,2025-03-04,3
user_02549,2025-04-15,3
user_01580,2025-06-25,3
user_04050,2025-07-05,3
user_08607,2025-07-31,3
user_01028,2025-08-13,3
user_01303,2025-09-03,3
user_08370,2025-09-05,3
user_02812,2025-09-05,3
user_09045,2025-09-26,3
user_02554,2025-10-07,3
user_06087,2025-11-14,3
user_04867,2025-11-18,3
user_02911,2025-11-21,3
user_05874,2025-11-26,3
user_06901,2025-12-10,3
user_03208,2024-01-21,3
user_06746,2024-01-23,3
user_08799,2024-01-27,3
user_00794,2024-02-09,3
user_03563,2024-02-18,3
user_03460,2024-03-16,3
user_09331,2024-03-23,3
user_08881,2024-03-28,3
user_03094,2024-05-13,3
user_01226,2024-05-30,3
user_00244,2024-06-25,3
user_07707,2024-07-12,3
user_02601,2024-07-29,3
user_06402,2024-07-31,3
user_05080,2024-08-05,3
user_07958,2024-08-21,3
user_06085,2024-03-04,3
user_02152,2024-09-30,3
user_06398,2024-11-12,3
user_08961,2024-12-09,3
user_07373,2024-12-11,3
user_08107,2024-02-27,3
user_02238,2025-01-22,3
user_01426,2025-01-23,3
user_04143,2025-01-31,3
user_08723,2025-02-02,3
user_05769,2025-02-08,3
user_03465,2025-03-20,3
user_05812,2025-04-23,3
user_07784,2025-05-19,3
user_03765,2025-05-21,3
user_03509,2025-06-03,3
user_07302,2025-06-11,3
user_04668,2025-06-26,3
user_03550,2025-06-27,3
user_08092,2025-07-02,3
user_04473,2025-08-03,3
user_05064,2025-08-10,3
user_07853,2025-08-14,3
user_09641,2025-10-08,3
user_08139,2025-11-09,3
user_04419,2025-12-23,3
user_04071,2025-12-24,3
user_07016,2024-02-18,3
user_06095,2024-02-20,3
user_05670,2024-03-22,3
user_07397,2024-04-06,3
user_09080,2024-04-09,3
user_02854,2024-06-23,3
user_09251,2024-06-25,3
user_00076,2024-07-07,3
user_05203,2024-08-08,3
user_04432,2024-09-08,3
user_08740,2024-09-25,3
user_00965,2024-02-14,3
user_08022,2024-10-08,3
user_08616,2024-11-05,3
user_06543,2024-11-29,3
user_03959,2024-12-31,3
user_02011,2025-01-07,3
user_01950,2025-01-13,3
user_01076,2025-02-14,3
user_00648,2025-04-05,3
user_07081,2025-04-20,3
user_04352,2025-05-03,3
user_00788,2025-05-18,3
user_04617,2025-06-27,3
user_05508,2025-07-09,3
user_06197,2025-08-01,3
user_00747,2025-08-26,3
user_05312,2025-10-17,3
user_09126,2025-10-19,3
