user_id,last_watch_date,days_inactive
user_00192,2025-12-02,192
user_00074,2025-11-22,202
user_07716,2025-10-16,239
user_07665,2025-08-06,310
user_03470,2025-10-29,226
user_01653,2025-10-01,254
user_06784,2025-07-30,317
user_06347,2025-10-02,253
user_08997,2025-11-10,214
user_00206,2025-11-12,212
user_04285,2025-11-19,205
user_03273,2025-08-30,286
user_06801,2025-10-04,251
user_02153,2025-09-21,264
user_05627,2025-12-27,167
user_00147,2025-11-20,204
user_05979,2025-12-20,174
user_09560,2025-07-28,319
user_07089,2025-08-07,309
user_02013,2025-06-29,348
user_09851,2025-11-21,203
user_04993,2025-09-06,279
user_03636,2025-07-21,326
user_06436,2025-09-15,270
user_00583,2025-11-19,205
user_08906,2025-12-09,185
user_09343,2025-05-20,388
user_03925,2025-08-07,309
user_05556,2025-12-23,171
user_05973,2025-09-11,274
user_04858,2025-12-07,187
user_02408,2025-12-09,185
user_00554,2025-11-24,200
user_00788,2025-10-22,233
user_06292,2025-10-10,245
user_02932,2025-12-09,185
user_05827,2025-08-12,304
user_07714,2025-07-13,334
user_04467,2025-11-20,204
user_09769,2025-05-23,385
user_08531,2025-10-17,238
user_05918,2025-10-03,252
user_01813,2025-12-22,172
user_02402,2025-07-20,327
user_02537,2025-11-06,218
user_07786,2025-06-30,347
user_00321,2025-07-15,332
user_01640,2025-12-06,188
user_04088,2025-08-15,301
user_08481,2025-12-13,181
user_06240,2025-11-29,195
user_03215,2025-11-26,198
user_01868,2025-10-02,253
user_08683,2025-01-05,523
user_01068,2025-12-20,174
user_00224,2025-12-04,190
user_04178,2025-12-04,190
user_04621,2025-11-06,218
user_05950,2025-12-04,190
user_07873,2025-12-03,191
user_00380,2025-01-26,502
user_07278,2024-08-29,652
user_09640,2025-08-18,298
user_01931,2025-11-08,216
user_02273,2025-11-03,221
user_06880,2025-12-02,192
user_08950,2025-12-18,176
user_05563,2025-12-07,187
user_05239,2025-12-15,179
user_03415,2025-11-25,199
user_09420,2025-09-02,283
user_06500,2025-08-16,300
user_05799,2025-12-15,179
user_02593,2025-06-26,351
user_03883,2025-09-15,270
user_02220,2025-12-14,180
user_04749,2025-12-12,182
user_06519,2025-10-29,226
user_04682,2025-11-26,198
user_09336,2025-11-19,205
user_00685,2025-12-16,178
user_08609,2025-12-17,177
user_00742,2025-12-06,188
user_02241,2025-09-20,265
user_08096,2025-12-26,168
user_08226,2025-11-10,214
user_00572,2025-10-11,244
user_08109,2025-08-17,299
user_09704,2025-11-16,208
user_06770,2025-10-18,237
user_08084,2025-09-08,277
user_05534,2025-11-11,213
user_07547,2025-11-30,194
user_01148,2025-12-01,193
user_01317,2025-12-07,187
user_09971,2025-12-14,180
user_08250,2025-12-28,166
user_02027,2025-11-04,220
user_08772,2025-07-04,343
user_02025,2025-12-09,185
user_02240,2025-11-20,204
user_06860,2025-10-28,227
user_03836,2025-10-20,235
user_08346,2025-12-07,187
user_03933,2025-12-24,170
user_01041,2025-11-26,198
