age_group,genre,total_views
G,Adventure,1549
NC-17,Action,1398
TV-PG,Animation,1344
NC-17,Sci-Fi,1298
TV-MA,Adventure,1194
PG,Western,1185
TV-Y7,Documentary,1085
PG,Biography,1055
TV-Y,Crime,1022
TV-14,Biography,1008
PG-13,War,1006
G,Action,996
TV-Y7,Romance,977
TV-MA,Music,954
TV-Y,Documentary,943
TV-Y7,Adventure,915
TV-14,War,890
TV-G,Comedy,879
R,Family,878
PG-13,Western,875
PG-13,Sport,870
TV-Y,Sci-Fi,849
PG-13,Romance,823
G,Crime,821
TV-Y,Animation,797
PG-13,Biography,789
TV-14,Sport,787
TV-MA,Animation,784
TV-PG,Family,779
TV-14,Thriller,772
NC-17,History,772
TV-MA,Comedy,760
TV-Y,History,759
TV-Y,Family,758
PG-13,Adventure,755
TV-PG,War,753
TV-MA,Family,749
TV-14,Romance,746
TV-Y7,Crime,740
TV-14,Mystery,731
TV-PG,Crime,723
PG,Action,714
TV-PG,Comedy,713
TV-MA,Drama,711
NC-17,War,711
TV-Y7,Sci-Fi,707
G,Biography,704
PG-13,Fantasy,702
TV-PG,Sport,700
R,Animation,697
TV-Y7,Horror,694
G,Sci-Fi,693
PG,Comedy,691
TV-MA,Action,690
TV-G,Sci-Fi,688
TV-G,History,671
G,Documentary,669
TV-Y,Horror,668
TV-Y7,Thriller,667
TV-14,Sci-Fi,664
G,Comedy,661
R,Music,659
PG,Adventure,659
TV-Y,Adventure,659
NC-17,Horror,642
TV-Y,Mystery,634
NC-17,Drama,623
TV-MA,War,614
PG-13,Horror,611
TV-Y,War,598
PG,History,592
TV-PG,Sci-Fi,591
TV-14,Comedy,587
R,War,580
TV-MA,History,574
R,Drama,570
G,History,567
PG,Romance,565
TV-MA,Fantasy,562
TV-MA,Thriller,561
R,History,558
TV-PG,Biography,554
TV-MA,Western,554
NC-17,Romance,553
TV-Y,Fantasy,553
TV-Y,Romance,551
NC-17,Documentary,549
PG,Fantasy,549
TV-G,Fantasy,548
PG-13,Animation,546
G,Music,545
TV-Y7,Western,544
PG,Documentary,542
NC-17,Thriller,542
NC-17,Adventure,541
PG,War,537
TV-Y7,Fantasy,537
NC-17,Animation,534
NC-17,Western,534
TV-14,Crime,533
NC-17,Comedy,531
R,Mystery,530
TV-PG,Action,529
R,Sport,529
G,Mystery,525
TV-Y7,History,525
PG-13,Family,524
TV-14,Adventure,524
TV-G,Drama,511
R,Comedy,503
PG,Music,499
TV-PG,Horror,499
TV-G,Sport,477
R,Romance,469
TV-Y7,Mystery,469
TV-Y,Action,463
PG-13,Comedy,461
R,Western,454
R,Documentary,451
PG,Drama,450
TV-MA,Horror,449
TV-14,Fantasy,448
PG,Crime,447
R,Adventure,447
TV-Y7,Sport,445
TV-MA,Documentary,445
G,Horror,444
TV-PG,Western,443
TV-G,Biography,438
G,Family,436
TV-G,Adventure,430
TV-14,Animation,430
TV-Y7,Music,426
NC-17,Fantasy,425
TV-Y,Comedy,422
PG,Thriller,420
TV-G,Romance,419
TV-14,Action,417
TV-14,Western,414
TV-PG,Music,413
NC-17,Mystery,410
TV-MA,Romance,409
PG-13,Action,406
TV-Y7,War,405
TV-G,War,399
TV-MA,Sci-Fi,398
TV-Y7,Animation,397
TV-14,Drama,390
TV-Y,Western,376
PG,Animation,367
TV-Y,Sport,361
G,Romance,350
G,Animation,346
R,Biography,341
PG,Horror,341
PG-13,Documentary,340
TV-PG,Drama,338
G,Western,333
NC-17,Music,333
TV-Y7,Biography,333
TV-Y7,Drama,332
TV-G,Horror,332
PG-13,History,328
TV-G,Family,325
TV-14,Music,325
TV-G,Mystery,322
PG,Family,317
TV-Y7,Action,315
TV-14,History,314
TV-Y,Music,312
PG-13,Drama,304
R,Horror,303
TV-G,Western,303
TV-PG,Documentary,302
TV-G,Animation,302
TV-G,Crime,300
G,Fantasy,297
TV-Y,Drama,297
TV-G,Action,296
TV-PG,Fantasy,289
NC-17,Crime,241
PG,Mystery,241
R,Action,240
PG-13,Sci-Fi,234
R,Thriller,230
NC-17,Biography,228
TV-MA,Biography,227
TV-14,Documentary,227
PG-13,Music,222
TV-14,Family,221
TV-PG,History,214
PG,Sci-Fi,213
G,Thriller,211
TV-14,Horror,211
TV-Y,Thriller,210
G,Drama,208
TV-MA,Crime,207
R,Crime,207
TV-PG,Adventure,203
NC-17,Sport,202
PG-13,Thriller,202
TV-PG,Thriller,201
G,War,198
TV-PG,Mystery,192
TV-Y7,Comedy,192
TV-G,Music,113
R,Fantasy,112
TV-G,Documentary,111
PG,Sport,111
TV-Y,Biography,108
NC-17,Family,106
PG-13,Crime,104
R,Sci-Fi,101
TV-Y7,Family,100
PG-13,Mystery,94
